chaos,seed,auc,loss_rate
0.75,20,0.97051875,0.009296875
0.75,21,0.9486375,0.008984375
0.75,22,0.96123125,0.009375
0.75,23,0.9523625,0.00796875
0.75,24,0.96383125,0.0072265625
0.75,25,0.95800625,0.0091015625
0.75,26,0.9712625,0.0087109375
0.75,27,0.95355625,0.009765625
0.75,28,0.9712875,0.0079296875
0.75,29,0.96378125,0.008984375
1.0,0,0.9402125,0.015859375
1.0,1,0.93353125,0.0144921875
1.0,2,0.93799375,0.014296875
1.0,3,0.9285625,0.0172265625
1.0,4,0.92744375,0.013203125
1.0,5,0.94016875,0.018359375
1.0,6,0.92678125,0.01359375
1.0,7,0.94006875,0.0153515625
1.0,8,0.9391375,0.0134375
1.0,9,0.93814375,0.0125
1.0,10,0.93375625,0.01390625
1.0,11,0.9394375,0.014453125
1.0,12,0.9244375,0.0132421875
1.0,13,0.9351125,0.016875
1.0,14,0.9190875000000001,0.0134765625
1.0,15,0.9204,0.0119140625
1.0,16,0.9267,0.0139453125
1.0,17,0.9436249999999999,0.015078125
1.0,18,0.93351875,0.0145703125
1.0,19,0.9277562500000001,0.0161328125
1.0,20,0.94195625,0.0162890625
1.0,21,0.907875,0.01453125
1.0,22,0.9328062500000001,0.01625
1.0,23,0.92,0.0126953125
1.0,24,0.93683125,0.012890625
1.0,25,0.92013125,0.0141015625
1.0,26,0.9420437500000001,0.01421875
1.0,27,0.9132312499999999,0.0169140625
1.0,28,0.9459125,0.0149609375
1.0,29,0.92413125,0.0151953125
