consenter,workload,n_txs,throughput_tps,p50_ms,p90_ms,p95_ms,p99_ms,p99_9_ms,max_ms,mean_ms,std_ms,hc_miss_rate,n_hc_total,n_hc_missed,seed
no_pred,asset_transfer,1000,15.875308516890719,60.961805852157696,83.28715821275894,91.34771455848252,112.94174064716829,147.42185099990613,148.60243547785322,62.990901810571955,16.92830113674753,0.06,50,3,3
no_pred,asset_transfer,1000,15.792499939963548,61.70654372188572,86.12865108525476,94.0548794659923,109.26243145066556,116.81570116732784,123.44110441736713,63.32119701133956,16.481296247290608,0.02,50,1,4
static_pri,asset_transfer,1000,16.858942692623497,57.62840929586021,78.9168436411076,88.07614039226054,102.60045293010003,119.90936676475403,127.5189128240403,59.3157007667831,15.11327714162627,0.02,50,1,0
static_pri,asset_transfer,1000,16.977721902987955,56.38073126422201,81.1264351739282,89.64623362300473,104.44728093760187,122.55952751425727,122.7922194747353,58.9007174056731,16.030737107848708,0.02,50,1,1
static_pri,asset_transfer,1000,16.648915813939517,58.6800360235796,81.24172080818548,88.94057484014635,102.36459235056266,123.95569046363288,129.52726836388655,60.06397120242132,15.899388818266575,0.0,50,0,2
static_pri,asset_transfer,1000,16.845067230500995,57.34974460746672,77.52620795309566,84.97991388185447,104.99099334966654,137.2577119399659,137.63031181068274,59.364559744191574,15.359562701511491,0.06,50,3,3
static_pri,asset_transfer,1000,16.761038481442178,58.17921093169992,80.53156894930471,86.98328742415404,99.49532883876655,112.24619037709054,113.43154951485722,59.66217434004462,14.83514021585775,0.02,50,1,4
proposed,asset_transfer,1000,18.393022984092486,52.832811398387435,72.0506374247767,80.68386667179334,94.63450637856795,110.2678077774362,110.65696476140728,54.36844181975235,13.951575616263673,0.0,50,0,0
proposed,asset_transfer,1000,18.805783562275984,51.151504873865846,72.69475011551637,78.86616409238438,91.7669956765254,103.47173397742262,106.51394479937468,53.1751307616865,13.924568134108059,0.0,50,0,1
proposed,asset_transfer,1000,18.54231585771711,52.22192131098747,72.04417116563846,80.0117287349212,97.27319455924443,114.91382280262705,122.73984061835161,53.930696018416214,14.313676924579399,0.04,50,2,2
proposed,asset_transfer,1000,18.61650635870133,52.1201752237897,72.63469687127007,79.79673236689204,97.79501645118137,104.70402213289493,121.44082237130533,53.71577140909693,14.256815726843742,0.0,50,0,3
proposed,asset_transfer,1000,18.32473926308016,53.23323003003458,73.37617525108936,78.83061611329737,94.78309491733694,105.94488002810964,121.45062004874411,54.57103567169187,14.006339816979834,0.0,50,0,4
raft,marbles02,1000,13.980056090739609,69.72232522699603,95.57815387425956,104.61849465995506,125.22160660293889,143.07425233873744,154.67789014214665,71.53047123054107,17.93161024850063,0.01,100,1,0
raft,marbles02,1000,14.049116465489965,68.31981020826407,98.16740091921763,108.74998672568053,124.78445107653913,147.99289388192537,149.75663063807525,71.17885330770692,19.202449327985743,0.0,100,0,1
raft,marbles02,1000,13.793184979196509,70.7509411353017,97.10964904369406,105.59114796688762,122.71561913793583,146.17948194298796,149.55232330798782,72.49957145563147,18.822873590181196,0.0,100,0,2
raft,marbles02,1000,13.989016699870078,69.29734930879164,92.81821838903726,102.20575026541742,124.5433452479738,159.40405407049687,164.21781060196736,71.48465267106926,18.038582240272728,0.0,100,0,3
raft,marbles02,1000,13.870469939574264,70.4748876029548,95.95264068239703,103.49329508153147,118.10979567662332,137.14053347033217,137.95218942431308,72.09561062865428,17.643166872915515,0.0,100,0,4
smartbft,marbles02,1000,11.430060994324597,84.32849533932409,117.73728865052654,129.78525078130514,152.87438633487068,182.92034803044533,198.4208545741687,87.48859699843536,22.787449858482223,0.02,100,2,0
smartbft,marbles02,1000,11.503709890598136,83.38284514887381,119.87344329081628,134.533611431992,156.68460991688713,188.8071766082648,191.21561498843275,86.92847868297598,24.453850349198344,0.04,100,4,1
smartbft,marbles02,1000,11.291293222913861,85.75955954740036,119.50964106502488,130.58062346805454,155.66385850004153,178.9385439592067,190.07862167889374,88.56381463645467,23.580715740408685,0.01,100,1,2
smartbft,marbles02,1000,11.40099871000149,85.7900190760939,116.1865975537796,126.47558475122169,154.6384209136423,191.60039724830065,199.80580248147285,87.71161416962123,22.646099355425722,0.01,100,1,3
smartbft,marbles02,1000,11.3094684760058,85.62041066973703,120.2534522253619,130.14206116975743,149.6812398622082,169.85384906273526,203.63231893187552,88.42148524677377,22.946571623934066,0.01,100,1,4
arma,marbles02,1000,15.650273823718514,61.98535313081393,85.72641602596967,93.88957068984641,110.97569598005815,139.31771298250197,147.20485448532085,63.89664559635158,16.370042245768484,0.0,100,0,0
arma,marbles02,1000,15.827203942711375,60.93024553863526,86.6522876606886,95.94305242937938,106.88218275363683,125.6591143078846,132.25887227106284,63.18235385224264,16.765426217553095,0.0,100,0,1
arma,marbles02,1000,15.46071574486685,62.764603329896005,87.62796135976484,95.39380368918181,111.03880183278079,128.8563766765422,134.1694392952282,64.6800585756848,16.852466954461594,0.0,100,0,2
arma,marbles02,1000,15.819783076329774,61.277164979337265,82.76237852952667,90.72030098261695,114.10203200828023,145.86963032282677,150.00026986291306,63.211991920182655,16.40558839181351,0.0,100,0,3
arma,marbles02,1000,15.625241556721209,62.31209045056974,86.036004048731,94.23241263090036,106.63524467174453,123.5047115581687,128.2793371783124,63.999010598965704,16.244930245085687,0.0,100,0,4
no_pred,marbles02,1000,13.980056090739609,69.72232522699603,95.57815387425956,104.61849465995506,125.22160660293889,143.07425233873744,154.67789014214665,71.53047123054107,17.93161024850063,0.01,100,1,0
no_pred,marbles02,1000,14.049116465489965,68.31981020826407,98.16740091921763,108.74998672568053,124.78445107653913,147.99289388192537,149.75663063807525,71.17885330770692,19.202449327985743,0.0,100,0,1
no_pred,marbles02,1000,13.793184979196509,70.7509411353017,97.10964904369406,105.59114796688762,122.71561913793583,146.17948194298796,149.55232330798782,72.49957145563147,18.822873590181196,0.0,100,0,2
no_pred,marbles02,1000,13.989016699870078,69.29734930879164,92.81821838903726,102.20575026541742,124.5433452479738,159.40405407049687,164.21781060196736,71.48465267106926,18.038582240272728,0.0,100,0,3
no_pred,marbles02,1000,13.870469939574264,70.4748876029548,95.95264068239703,103.49329508153147,118.10979567662332,137.14053347033217,137.95218942431308,72.09561062865428,17.643166872915515,0.0,100,0,4
static_pri,marbles02,1000,14.71543322763054,66.10251761657648,89.6094718239147,98.08005508301282,117.89257704019477,133.54462706106034,139.3531807375257,67.95586541905833,16.427021770882966,0.0,100,0,0
static_pri,marbles02,1000,14.799571730631463,65.03317082535432,91.64684597639241,102.49660836307572,117.35603333188017,134.8915721045049,138.09794200652172,67.56952283492411,17.60757284602302,0.0,100,0,1
static_pri,marbles02,1000,14.530902870641885,66.98410378050646,92.1550611310258,99.66247997280028,114.40062572977715,135.8394607739211,138.9542774171626,68.81884827820242,17.29964724258846,0.0,100,0,2
static_pri,marbles02,1000,14.73658850462013,65.72556714411589,87.7317398155146,95.6092817624653,117.1658958027167,149.6121419084299,152.87271409123645,67.85831060468885,16.588145115061792,0.0,100,0,3
static_pri,marbles02,1000,14.612066876026438,66.75519256033789,90.20513529349226,96.87820613427995,109.63268586621223,127.13642405742462,133.38812412367812,68.43658795735932,16.13172215426084,0.0,100,0,4
proposed,marbles02,1000,15.812251396693442,61.935208440355765,83.52788323985517,91.57324925346869,108.53155485961155,124.3000767022384,124.59090811386008,63.24210100840628,15.476553667417885,0.0,100,0,0
proposed,marbles02,1000,16.17908272029603,59.82233092647898,83.40205941067903,89.36035124934192,103.54292557638739,114.66910771848356,115.29614599738508,61.80820119953641,15.351575485250999,0.0,100,0,1
proposed,marbles02,1000,15.949109540282018,61.19234617942536,83.00237839866676,90.40571160577197,115.35218292594116,133.10772371187798,135.03072403116067,62.69942516065493,15.915708237455597,0.0,100,0,2
proposed,marbles02,1000,16.024589950599015,60.48549847666054,83.12352885675121,90.73770623086668,107.93839866589319,123.74314912373927,129.5305156654103,62.40409290239711,15.739374262086795,0.0,100,0,3
proposed,marbles02,1000,15.789144826942952,61.823579300044116,83.18412723307321,91.45055850993762,106.7529109875984,120.48452639172189,130.89275525677118,63.33465244384721,15.324108669191588,0.0,100,0,4
raft,smallbank,1000,15.072414108499533,64.24003694658374,88.4539762880911,97.89313015720646,114.81730125062039,134.89309616095366,147.5773293940554,66.34637243917594,17.164766759634688,0.205,200,41,0
raft,smallbank,1000,15.156666110009773,63.216703550088226,91.26751189186656,101.06752639392217,118.523506894749,140.57360655882744,140.98263694299234,65.97757005015632,18.281426516015458,0.22,200,44,1
raft,smallbank,1000,14.870630302444777,65.33638514459216,91.14605458853602,99.35202817095139,116.48410984297283,140.5218009787357,142.42058558952826,67.24664521016281,18.011148595717938,0.2,200,40,2
raft,smallbank,1000,15.062871940624602,64.30146378718612,86.99477289031607,95.19907336022263,117.03901051006406,152.21473222814242,154.84858552749887,66.38840215477087,17.324619108874394,0.23,200,46,3
raft,smallbank,1000,14.963124324664324,65.06471103012117,90.60772515296112,97.83734476654041,112.8838418379457,125.26997148275294,128.92055105118416,66.83096245826545,16.894278903520856,0.2,200,40,4
smartbft,smallbank,1000,12.149415997581093,79.25628612901703,111.64764985965795,123.69154743945896,147.85674973634312,176.37426744495235,191.32029382607746,82.30848299202995,22.212822117373985,0.465,200,93,0
smartbft,smallbank,1000,12.232676886870117,78.00930854875631,113.03771355679898,128.1437471931968,149.5245691860807,182.42109688796307,184.509396849397,81.74825585995369,23.74077833880243,0.435,200,87,1
smartbft,smallbank,1000,12.002382471924728,79.79920548567618,113.33751287831282,125.22670245002895,145.33646544033775,173.3651969553799,182.94688396043418,83.3167916735816,22.945743732752174,0.475,200,95,2
smartbft,smallbank,1000,12.108793029650199,80.90367547129216,110.56602555478224,121.17830336879535,148.5115267313497,184.41107540594624,190.4365774070044,82.58461413547575,22.11447743708686,0.505,200,101,3
smartbft,smallbank,1000,12.020086874970227,80.37035293049252,114.68390064052137,124.17107603740875,144.25349536660596,161.63609315273482,196.8271897061153,83.19407425268521,22.424605975165726,0.5,200,100,4
arma,smallbank,1000,17.044765952952726,56.357478639969955,79.75594748171947,86.90256773344785,102.39492039882535,130.752409772732,132.20925719787067,58.669036744782424,15.440218044002552,0.11,200,22,0
arma,smallbank,1000,17.24423480933228,55.779651460760206,79.99458842486547,89.43003063122393,100.6598349395795,119.41056159630023,125.87311300963873,57.99039569206152,15.762686171179842,0.13,200,26,1
arma,smallbank,1000,16.831196290901957,57.602479885210855,80.90830201114083,89.56549690551111,103.89927293062537,117.2372370048714,128.51323386326254,59.41348331494098,15.963292494727863,0.07,200,14,2
arma,smallbank,1000,17.21113791004868,55.92884239939666,76.63082787577841,84.60035351466533,104.26730797940421,138.68030848047232,140.6310447884446,58.1019108223026,15.55183613655539,0.065,200,13,3
arma,smallbank,1000,17.013009165552628,56.84517138178629,79.85329151461735,87.07807714249047,100.78385988157429,115.28107490521812,115.59346500294971,58.77854941880396,15.435538134838698,0.135,200,27,4
no_pred,smallbank,1000,15.072414108499533,64.24003694658374,88.4539762880911,97.89313015720646,114.81730125062039,134.89309616095366,147.5773293940554,66.34637243917594,17.164766759634688,0.205,200,41,0
no_pred,smallbank,1000,15.156666110009773,63.216703550088226,91.26751189186656,101.06752639392217,118.523506894749,140.57360655882744,140.98263694299234,65.97757005015632,18.281426516015458,0.22,200,44,1
no_pred,smallbank,1000,14.870630302444777,65.33638514459216,91.14605458853602,99.35202817095139,116.48410984297283,140.5218009787357,142.42058558952826,67.24664521016281,18.011148595717938,0.2,200,40,2
no_pred,smallbank,1000,15.062871940624602,64.30146378718612,86.99477289031607,95.19907336022263,117.03901051006406,152.21473222814242,154.84858552749887,66.38840215477087,17.324619108874394,0.23,200,46,3
no_pred,smallbank,1000,14.963124324664324,65.06471103012117,90.60772515296112,97.83734476654041,112.8838418379457,125.26997148275294,128.92055105118416,66.83096245826545,16.894278903520856,0.2,200,40,4
static_pri,smallbank,1000,15.930728952255219,61.01267212700323,83.45435921093238,91.5021382820151,108.91715424907305,125.36347088327653,132.25261998943446,62.7717666276932,15.586056500242982,0.135,200,27,0
static_pri,smallbank,1000,16.033801928294107,59.99451588146471,85.35652456770474,94.9073601665984,109.60690152757644,127.24660052443839,128.91450848744987,62.368239577373494,16.609571820807094,0.17,200,34,1
static_pri,smallbank,1000,15.731699753919123,61.96790348686704,84.9515931829749,93.47202548723808,106.81969823744653,128.70919858774815,133.29807198519697,63.565922032733766,16.40892151707397,0.145,200,29,2
static_pri,smallbank,1000,15.933192737645278,60.72086098666774,81.47707262515718,89.57177046386764,108.9721225198756,142.42282006607545,143.50348901676796,62.76206008839049,15.800700716057985,0.14,200,28,3
static_pri,smallbank,1000,15.829813100123523,61.51736667165839,84.18166375969292,90.69969059015327,103.71453407158447,118.91278740447405,120.70225194831545,63.1719397869705,15.299217762766931,0.135,200,27,4
proposed,smallbank,1000,17.26581773718726,56.44709923537062,76.68604926180886,84.7392006637756,98.80573172958181,115.16311379872324,115.99681418408744,57.91790549521393,14.501706280343264,0.055,200,11,0
proposed,smallbank,1000,17.658996636571814,54.70286087210174,77.27545977693637,82.96372955296849,95.89751360346624,107.23270853126257,109.77575890064027,56.628358936826466,14.4434799109146,0.05,200,10,1
proposed,smallbank,1000,17.410020066315983,55.825828917333446,76.42895172898685,84.55885991926743,102.62097394363165,122.95903206772644,126.1049676695723,57.438187675311696,14.897551376423666,0.045,200,9,2
proposed,smallbank,1000,17.48523808578253,55.52732456841227,76.91585179992364,83.77309374815579,101.87301071290865,112.31967292923267,124.67669968894731,57.191100006417,14.796789774807095,0.065,200,13,3
proposed,smallbank,1000,17.218673704226177,56.596393222158696,77.72424781865169,83.96411020286163,99.20575447546588,111.76073857355453,125.22747413195495,58.076482380554,14.483031486689876,0.07,200,14,4
