hour,consenter,count,p50_ms,p99_ms,p99_9_ms
22,smartbft,3609,31.75645307791029,89.06614130970951,122.42386889964313
23,smartbft,3644,31.783401349911543,88.38881868580972,114.95857955865954
0,arma,3621,23.36075088140011,66.40075185355288,98.24405634995807
1,arma,3513,23.30956846401605,63.532001127494674,82.81743085610267
2,arma,3534,22.788709465417718,63.963242979500144,85.95326207825494
3,arma,3631,23.413221853003574,64.52260905384504,88.24593851234162
4,arma,3549,23.13055904150915,63.9153048604725,78.67954026050228
5,arma,3629,23.75453140401896,61.427077013111244,76.99444747110086
6,arma,3634,38.759136092007935,179.4797303525035,226.12361790239123
7,arma,3522,36.67172615394374,169.7113367760995,224.78317622113806
8,arma,3554,24.756000961717717,98.72797993361908,148.4625006433926
9,arma,3553,35.171522115285796,94.43260647975296,124.75884945443507
10,arma,3641,35.37754934872233,98.74982093909308,125.90501259438014
11,arma,3551,35.35838416159305,99.04502840037826,127.39132306249543
12,arma,3712,35.17239166819786,94.34041224976832,120.88114237592949
13,arma,3564,35.138601924290015,96.75075465063716,121.02625378918786
14,arma,3659,35.169765430645775,93.94228063105363,135.96091624026823
15,arma,3669,34.89572452714965,95.16198689858636,117.8151631814032
16,arma,3618,35.24924432257497,100.17967759382103,121.39329191236335
17,arma,3670,39.14273632374493,176.38183776237221,225.17667293651695
18,arma,3632,23.166021789740086,61.35551286302935,78.73711606985779
19,arma,3605,23.815572552002916,66.02916041954097,82.01366491108566
20,arma,3551,23.543283325560353,63.08074420790565,79.70716315040644
21,arma,3535,22.968043021224414,61.441105205536694,79.9348344334816
22,arma,3609,23.472160970629346,65.83149575065485,90.48720744756231
23,arma,3644,23.49207925863027,65.33086598516371,84.96938489118314
0,no_pred,3621,27.483236331058954,78.11853159241515,115.58124276465657
1,no_pred,3513,27.423021722371825,74.74353073822903,97.43227159541492
2,no_pred,3534,26.810246429903202,75.25087409352957,101.12148479794699
3,no_pred,3631,27.54496688588656,75.908951828053,103.81875119099016
4,no_pred,3549,27.212422401775473,75.19447630643823,92.56416501235562
5,no_pred,3629,27.946507534139954,72.26714942718971,90.58170290717749
6,no_pred,3634,45.5989836376564,211.15262394412179,266.0277857675191
7,no_pred,3522,43.1432072399338,199.6603962071759,264.4507955542801
8,no_pred,3554,29.124707013785553,116.15056462778715,174.6617654628148
9,no_pred,3553,41.37826131210094,111.09718409382702,146.77511700521774
10,no_pred,3641,41.62064629261451,116.17625992834479,148.1235442286825
11,no_pred,3551,41.59809901363889,116.52356282397443,149.8721447794064
12,no_pred,3712,41.3792843155269,110.98872029384508,142.21310867756412
13,no_pred,3564,41.33953167563531,113.82441723604373,142.38382798727986
14,no_pred,3659,41.37619462428915,110.52033015418074,159.95401910619793
15,no_pred,3669,41.053793561352535,111.95527870421925,138.6060743310626
16,no_pred,3618,41.469699203029364,117.85844422802475,142.81563754395688
17,no_pred,3670,46.05027802793521,207.50804442632023,264.91373286649053
18,no_pred,3632,27.25414328204716,72.1829563094463,92.63190125865623
19,no_pred,3605,28.018320649415195,77.68136519945996,96.48666460127724
20,no_pred,3551,27.69798038301218,74.2126402445949,93.77313311812524
21,no_pred,3535,27.021227083793427,72.28365318298435,94.04098168644894
22,no_pred,3609,27.61430702426982,77.44881853018218,106.45553817360273
23,no_pred,3644,27.637740304270906,76.85984233548672,99.96398222492134
0,static_pri,3621,26.109074514506005,74.2126050127944,109.80218062642373
1,static_pri,3513,26.051870636253234,71.00635420131758,92.56065801564417
2,static_pri,3534,25.46973410840804,71.4883303888531,96.06541055804963
3,static_pri,3631,26.16771854159223,72.11350423665034,98.62781363144063
4,static_pri,3549,25.851801281686697,71.43475249111633,87.93595676173784
5,static_pri,3629,26.549182157432956,68.65379195583021,86.05261776181861
6,static_pri,3634,43.319034455773576,200.59499274691566,252.72639647914312
7,static_pri,3522,40.98604687793711,189.6773763968171,251.22825577656604
8,static_pri,3554,27.668471663096273,110.34303639639779,165.92867718967406
9,static_pri,3553,39.30934824649589,105.54232488913567,139.43636115495684
10,static_pri,3641,39.539613977983784,110.36744693192755,140.71736701724836
11,static_pri,3551,39.518194062956944,110.69738468277569,142.37853754043607
12,static_pri,3712,39.310320099750555,105.43928427915283,135.10245324368591
13,static_pri,3564,39.27255509185354,108.13319637424154,135.26463658791585
14,static_pri,3659,39.30738489307469,104.9943136464717,151.95631815088805
15,static_pri,3669,39.001103883284905,106.35751476900829,131.67577061450945
16,static_pri,3618,39.396214242877896,111.96552201662351,135.67485566675904
17,static_pri,3670,43.74776412653844,197.1326422050042,251.668046223166
18,static_pri,3632,25.8914361179448,68.57380849397397,88.00030619572341
19,static_pri,3605,26.617404616944434,73.79729693948696,91.66233137121338
20,static_pri,3551,26.31308136386157,70.50200823236514,89.08447646221897
21,static_pri,3535,25.670165729603756,68.66947052383512,89.33893260212649
22,static_pri,3609,26.233591673056328,73.57637760367307,101.13276126492258
23,static_pri,3644,26.255853289057363,73.01685021871238,94.96578311367527
0,proposed,3621,27.483236331058954,78.11853159241515,115.58124276465657
1,proposed,3513,27.423021722371825,74.74353073822903,97.43227159541492
2,proposed,3534,26.810246429903202,75.25087409352957,101.12148479794699
3,proposed,3631,27.54496688588656,75.908951828053,103.81875119099016
4,proposed,3549,27.212422401775473,75.19447630643823,92.56416501235562
5,proposed,3629,27.946507534139954,72.26714942718971,90.58170290717749
6,proposed,3634,38.54273083148374,147.80683676088523,186.21945003726336
7,proposed,3522,38.215496177609324,139.7622773450231,185.11555688799604
8,proposed,3554,28.958957850328154,91.86510252321287,122.26323582397036
9,proposed,3553,39.30934824649589,105.54232488913567,139.43636115495684
10,proposed,3641,39.539613977983784,110.36744693192755,140.71736701724836
11,proposed,3551,39.518194062956944,110.69738468277569,142.37853754043607
12,proposed,3712,39.310320099750555,105.43928427915283,135.10245324368591
13,proposed,3564,39.27255509185354,108.13319637424154,135.26463658791585
14,proposed,3659,39.30738489307469,104.9943136464717,151.95631815088805
15,proposed,3669,39.001103883284905,106.35751476900829,131.67577061450945
16,proposed,3618,39.396214242877896,111.96552201662351,135.67485566675904
17,proposed,3670,39.021135026206736,145.25563109842415,185.43961300654337
18,proposed,3632,27.25414328204716,72.1829563094463,92.63190125865623
19,proposed,3605,28.018320649415195,77.68136519945996,96.48666460127724
20,proposed,3551,27.69798038301218,74.2126402445949,93.77313311812524
21,proposed,3535,27.021227083793427,72.28365318298435,94.04098168644894
22,proposed,3609,27.61430702426982,77.44881853018218,106.45553817360273
23,proposed,3644,27.637740304270906,76.85984233548672,99.96398222492134
